Country;Continent;Rank;Title;Artists;Album;Explicit;Duration
"Global,Global,1,Rain On Me (with Ariana Grande),""Lady Gaga, Ariana Grande"",Rain On Me (with Ariana Grande),0,3:02";;;;;;;
Global;Global;2;Blinding Lights;The Weeknd;After Hours;0;3:20:00
"Global,Global,3,ROCKSTAR (feat. Roddy Ricch),""DaBaby, Roddy Ricch"",BLAME IT ON BABY,1,3:01";;;;;;;
"Global,Global,4,Roses - Imanbek Remix,""SAINt JHN, Imanbek"",Roses (Imanbek Remix),1,2:56";;;;;;;
Global;Global;5;Toosie Slide;Drake;Dark Lane Demo Tapes;1;4:07:00
"Global,Global,6,death bed (coffee for your head) (feat. beabadoobee),""Powfu, beabadoobee"",death bed (coffee for your head) (feat. beabadoobee),0,2:53";;;;;;;
"Global,Global,7,THE SCOTTS,""THE SCOTTS, Travis Scott, Kid Cudi"",THE SCOTTS,1,2:45";;;;;;;
Global;Global;8;Don't Start Now;Dua Lipa;Future Nostalgia;0;3:03:00
"Global,Global,9,Stuck with U (with Justin Bieber),""Ariana Grande, Justin Bieber"",Stuck with U,0,3:48";;;;;;;
Global;Global;10;Dance Monkey;Tones And I;Dance Monkey (Stripped Back) / Dance Monkey;0;3:29:00
Global;Global;11;GOOBA;6ix9ine;GOOBA;1;2:12:00
Global;Global;12;Blueberry Faygo;Lil Mosey;Certified Hitmaker;1;2:42:00
Global;Global;13;The Box;Roddy Ricch;Please Excuse Me For Being Antisocial;1;3:16:00
"Global,Global,14,ily (i love you baby) (feat. Emilee),""Surf Mesa, Emilee"",ily (i love you baby) (feat. Emilee),0,2:56";;;;;;;
Global;Global;15;Break My Heart;Dua Lipa;Future Nostalgia;0;3:41:00
"Global,Global,16,Supalonely,""BENEE, Gus Dapperton"",STELLA & STEVE,1,3:43";;;;;;;
"Global,Global,17,Intentions (feat. Quavo),""Justin Bieber, Quavo"",Changes,0,3:32";;;;;;;
Global;Global;18;In Your Eyes;The Weeknd;After Hours;1;3:57:00
Global;Global;19;Sunday Best;Surfaces;Where the Light Is;0;2:38:00
Global;Global;20;Say So;Doja Cat;Hot Pink;1;3:57:00
Global;Global;21;Falling;Trevor Daniel;Nicotine;0;2:39:00
"Global,Global,22,Savage Remix (feat. Beyoncé),""Megan Thee Stallion, Beyoncé"",Savage Remix (feat. Beyoncé),1,4:02";;;;;;;
"Global,Global,23,Safaera,""Bad Bunny, Jowell & Randy, Nengo Flow"",YHLQMDLG,1,4:55";;;;;;;
Global;Global;24;Someone You Loved;Lewis Capaldi;Divinely Uninspired To A Hellish Extent;0;3:02:00
Global;Global;25;Yo Perreo Sola;Bad Bunny;YHLQMDLG;0;2:52:00
Global;Global;26;Circles;Post Malone;Hollywood's Bleeding;0;3:35:00
"Global,Global,27,Say So (feat. Nicki Minaj),""Doja Cat, Nicki Minaj"",Say So (feat. Nicki Minaj),1,3:26";;;;;;;
Global;Global;28;Party Girl;StaySolidRocky;Party Girl;0;2:27:00
Global;Global;29;Watermelon Sugar;Harry Styles;Fine Line;0;2:54:00
Global;Global;30;goosebumps;Travis Scott;Birds In The Trap Sing McKnight;1;4:03:00
"Global,Global,31,Tusa,""KAROL G, Nicki Minaj"",Tusa,0,3:20";;;;;;;
Global;Global;32;WHATS POPPIN;Jack Harlow;Sweet Action;1;2:19:00
Global;Global;33;Boss Bitch;Doja Cat;Boss Bitch;0;2:14:00
Global;Global;34;ROXANNE;Arizona Zervas;ROXANNE;1;2:43:00
Global;Global;35;SICKO MODE;Travis Scott;ASTROWORLD;1;5:12:00
Global;Global;36;Play Date;Melanie Martinez;Cry Baby (Deluxe Edition);1;2:59:00
"Global,Global,37,Be Kind (with Halsey),""Marshmello, Halsey"",Be Kind (with Halsey),0,2:52";;;;;;;
"Global,Global,38,Life Is Good (feat. Drake),""Future, Drake"",High Off Life,1,3:57";;;;;;;
Global;Global;39;HIGHEST IN THE ROOM;Travis Scott;HIGHEST IN THE ROOM;1;2:55:00
"Global,Global,40,Breaking Me,""Topic, A7S"",Breaking Me,0,2:46";;;;;;;
Global;Global;41;Adore You;Harry Styles;Fine Line;0;3:27:00
Global;Global;42;Rojo;J Balvin;Colores;0;2:30:00
Global;Global;43;Before You Go;Lewis Capaldi;Divinely Uninspired To A Hellish Extent (Extended Edition);0;3:35:00
Global;Global;44;Memories;Maroon 5;Memories;0;3:09:00
Global;Global;45;After Party;Don Toliver;Heaven Or Hell;1;2:47:00
"Global,Global,46,bad guy,Billie Eilish,""WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"",0,3:14";;;;;;;
"Global,Global,47,Señorita,""Shawn Mendes, Camila Cabello"",Shawn Mendes (Deluxe),0,3:10";;;;;;;
Global;Global;48;Daechwita;Agust D;D-2;1;3:45:00
"Global,Global,49,MAMACITA,""Black Eyed Peas, Ozuna, J. Rey Soul"",MAMACITA,1,4:09";;;;;;;
Global;Global;50;Favorito;Camilo;Por Primera Vez;0;3:29:00
Argentina;South America;1;Colocao;Nicki Nicole;Colocao;1;2:59:00
Argentina;South America;2;Favorito;Camilo;Por Primera Vez;0;3:29:00
"Argentina,South America,3,PORFA,""Feid, Justin Quiles"",FERXXO (VOL 1: M.O.R),0,3:52";;;;;;;
Argentina;South America;4;Yo Perreo Sola;Bad Bunny;YHLQMDLG;0;2:52:00
"Argentina,South America,5,""C.R.O: Bzrp Music Session, Vol. 29"",""Bizarrap, C.R.O"",""C.R.O: Bzrp Music Session, Vol. 29"",0,2:26";;;;;;;
"Argentina,South America,6,Elegí (feat. Dímelo Flow),""Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow"",Elegí (feat. Dímelo Flow),0,3:17";;;;;;;
